trial,CSP_LDA,CSP_LDA_BOTDA,EEGNet,EEGNet_FT,EEGNet_BOTDA
31,0.00023162399975262815,0.04129016199931357,0.0010753339993243571,0.00875037900004827,0.031055613999342313
32,0.00024279399985971395,0.054109636999783106,0.0018165350002163905,0.009696704999441863,0.015866146000007575
33,0.0002768770000329823,0.04246271000010893,0.0010069440004372154,0.007705840999733482,0.009053706000486272
34,0.0002993910002260236,0.044373411999913515,0.0012437750001481618,0.00806820100024197,0.008738329999687267
35,0.0002257449996250216,0.0415091000004395,0.0010550719998718705,0.009067007999874477,0.014713106999806769
36,0.00024285499966936186,0.04056405700066534,0.001125329999922542,0.008139659999869764,0.008972384999651695
37,0.00024128299992298707,0.03897126400079287,0.0012542399999802,0.008226517999901262,0.008941638000578678
38,0.00022609400002693292,0.03839925900047092,0.0010353629995734082,0.00766607599962299,0.01605459799975506
39,0.00022644500040769344,0.04272324199973809,0.0014005069997438113,0.008337152999956743,0.031830797999646165
40,0.00027809899984276854,0.040023513000051025,0.0012492170008044923,0.008193499999833875,0.008689539999977569
41,0.0002511530001356732,0.040818008000314876,0.0011004100006175577,0.007817892000275606,0.01927187099954608
42,0.00025356300011480926,0.04346726200037665,0.0010325379998903372,0.007673340999645006,0.01615743199999997
43,0.00022655999964626972,0.043466436000016984,0.0011959889998252038,0.007808549000401399,0.016264742000203114
44,0.00022964300023886608,0.04063517899976432,0.0010863779998544487,0.007918892999441596,0.008946207000008144
45,0.00021683799968741369,0.03434528399975534,0.0010372800006734906,0.007798292999723344,0.008859930000653549
46,0.00021167700015212176,0.03778305200012255,0.0009752519999892684,0.00760599600016576,0.019739111000490084
47,0.00022781099960411666,0.047835004000262416,0.0015999670004021027,0.017081678999602445,0.013450373000523541
48,0.00032478299999638693,0.05823272999987239,0.0016842380000525736,0.014108955999290629,0.027666927000609576
49,0.0003277140003774548,0.047270215999560605,0.0012499009999373811,0.008276860000478337,0.016726668999581307
50,0.00026328999956604093,0.039015017999190604,0.0015194839998002863,0.00836117299968464,0.008937214000070526
51,0.00025054400066437665,0.03539700300007098,0.001142875999903481,0.007918639999843435,0.019419594000282814
52,0.00025040400032594334,0.03524670100068761,0.0010656559998096782,0.008343213999978616,0.01829137900040223
53,0.00022936299956199946,0.03504891900047369,0.0013499500000762055,0.0084269070002847,0.034294142999897304
54,0.00026852800056076376,0.034761127000820125,0.0013611849999506376,0.00832088599963754,0.00903205499980686
55,0.00023835699994378956,0.034066530999552924,0.0010426510007164325,0.0077328299994405825,0.016928811999605387
56,0.00023024399979476584,0.033726788999956625,0.00116131899994798,0.008148376000463031,0.009540590999677079
57,0.00023824500021873973,0.03436460100056138,0.0012430269998731092,0.008025907000046573,0.017186948999551532
58,0.00023850399975344772,0.036154778999843984,0.0011443419998613535,0.008176215999810665,0.008883051000339037
59,0.00023150700053520268,0.03387065900005837,0.0009936470005413867,0.00760295399959432,0.036189359999298176
60,0.00023830999998608604,0.03642446899993956,0.0012432260000423412,0.008361259000594146,0.01684363599997596
61,0.0002363459998377948,0.03325594699981593,0.0012063889998898958,0.008050889999140054,0.016863412000020617
62,0.00030340200009959517,0.033637018999797874,0.001064748000317195,0.007999245999599225,0.016615579000244907
63,0.00022906300000613555,0.033613605000027746,0.001118459000281291,0.008266242999525275,0.00904693699976633
64,0.00023864099966885988,0.032383324999500473,0.0010123889996975777,0.00773431499965227,0.009415915999852587
65,0.0002472140004101675,0.03677157800029818,0.0015565630001219688,0.008362884999769449,0.009374840999953449
66,0.0002498079993529245,0.033165265000207,0.002803719999974419,0.010887593000006746,0.010529782000048726
67,0.00027164000039192615,0.03419602800022403,0.0011684559995046584,0.008433001000412332,0.009219045999998343
68,0.00022773799992137356,0.03304188999936741,0.0010784890000650194,0.007615051999891875,0.009121838000282878
69,0.00021753200053353794,0.034849294000196096,0.0011203799995200825,0.007733012000244344,0.009059239000634989
70,0.00021889799972996116,0.034073701000124856,0.0010269089998473646,0.007708615999945323,0.03746631399917533
71,0.00022160900061862776,0.034350306000305864,0.0011363039993739221,0.007917857999927946,0.009195865999572561
72,0.00021817800006829202,0.03426393100016867,0.0011793629992098431,0.008006814000509621,0.009261680000236083
73,0.0002290660004291567,0.032337411000298744,0.0010332299998481176,0.0077301010005612625,0.020578894000209402
74,0.00022521699975186493,0.033590279999771155,0.0010492469991731923,0.007849831999919843,0.016865708000295854
75,0.00022107600034360075,0.03206567899997026,0.0010462649997862172,0.007887783000114723,0.009222527999554586
76,0.00022576199989998713,0.03255232899937255,0.0010660710004231078,0.007553468999503821,0.009260071999960928
